API WELL  NUMBER,OIL,GAS,BRINE
34013209640000,0,483427,5318
34013209650000,0,803264,60039
34013209660000,0,853536,27174
34013209680000,0,512170,5359
34013209700000,0,465836,6451
34013209710000,0,612020,4229
34013209720000,0,525461,4098
34013209730000,0,550872,5356
34013209740100,0,653705,27326
34013209750000,0,406492,16877
34013209760000,0,303811,3870
34013209770000,0,674662,3212
34013209780000,0,445191,3356
34013209790000,0,652744,3909
34013209880000,0,472294,4575
34013209890000,0,348840,4185
34013209900000,0,369504,4255
34013209910000,0,567728,8071
34013209920000,0,155697,1535
34013209930000,0,321601,3006
34013209940000,0,0,0
34013209950000,0,722731,8824
34013209960000,0,60415,1107
34013209970000,0,107957,1036
34013209980000,0,159299,462
34013210000000,0,347994,11834
34013210010000,0,693730,26386
34013210020100,0,213430,7094
34013210030000,0,1193461,14124
34013210070000,0,985129,10888
34013210080000,0,510625,8921
34013210090000,0,492476,9824
34013210100000,0,464595,18295
34013210110000,0,512702,20447
34013210120000,0,315091,12449
34013210130000,0,391190,4943
34013210140000,0,486523,5714
34013210150000,0,397385,4511
34013210190000,0,1130493,25992
34013210200000,0,675528,4160
34013210210000,0,839357,7584
34013210220000,0,1040188,184
34013210230000,0,353714,976
34013210240000,0,883329,13234
34013210250000,0,925038,11815
34013210270000,0,649757,1714
34013210280000,0,239080,1573
34013210290000,0,536978,2912
34013210300000,0,582794,8808
34013210310000,0,1068092,3222
34013210370000,0,1112485,19893
34013210380000,0,1161143,20918
34013210390000,0,1042699,20307
34013210420000,0,713524,5482
34013210430000,0,623964,7834
34013210440000,0,603997,10467
34013210460000,0,902656,15882
34013210470000,0,1012903,19364
34013210500000,0,2104402,40978
34013210510000,0,990052,19044
34013210520000,0,663644,12778
34013210530000,0,622295,11392
34013210590000,0,1014722,6282
34013210610000,0,1103626,5489
34013210620000,0,600092,2937
34013210630000,0,1153123,6534
34013210640000,0,696082,3004
34013210650000,0,791084,11943
34013210670000,0,1097500,16520
34013210680000,0,917538,13819
34013210690000,0,949113,14165
34013210700000,0,1188923,16882
34013210710000,0,1661010,23561
34013210720000,0,1967950,43614
34013210730000,0,1330441,30064
34013210740000,0,1367731,30531
34013210750000,0,1164449,26181
34013210760000,0,942647,21411
34013210770000,0,1657720,24010
34013210780000,0,1432753,21151
34013210790000,0,1338278,19506
34013210800000,0,806289,6091
34013210820000,0,995672,2013
34013210830000,0,707200,4295
34013210840000,0,923548,3762
34013210850100,0,1696458,22678
34013210860000,0,1428324,19071
34013210870000,0,680449,5111
34013210880000,0,608777,6121
34013210890000,0,873455,6264
34013210900000,0,1055153,7025
34013210910000,0,582031,3813
34013210920000,0,571801,7693
34013210930000,0,1174438,9986
34013210940000,0,1144406,9666
34013210950000,0,739517,7900
34013210960000,0,1252784,17348
34013210970000,0,1365248,21829
34013210980000,0,992689,8254
34013210990000,0,1877059,12722
34013211000000,0,1167876,6013
34013211010000,0,953136,2791
34013211030000,0,642530,5135
34013211050000,0,926375,13919
34013211060000,0,215724,1886
34013211070000,0,1153448,6206
34013211080000,0,5712959,72810
34013211090000,1,4303661,57513
34013211100000,0,724213,33827
34013211110000,0,1040574,8795
34013211120000,0,1032648,8610
34013211130000,0,996998,9606
34013211140000,0,675460,5142
34013211150000,0,1862324,46000
34013211160000,0,730803,19681
34013211170100,0,919227,21355
34013211180000,0,1447953,35247
34013211190000,0,4092863,59991
34013211200000,0,3526098,51369
34013211210000,0,2502781,36935
34013211220000,0,4049323,58649
34013211230000,0,543387,10285
34013211240000,0,528177,10012
34013211250000,0,636839,12164
34013211260000,0,492747,9349
34013211270000,0,612934,11762
34013211280000,0,0,0
34013211290000,0,1254942,8046
34013211300000,0,1752985,13931
34013211310000,0,888012,7364
34013211320000,0,722725,10346
34013211330000,0,1208931,7779
34013211340000,0,1046701,8297
34013211350000,0,1640371,54843
34013211360000,0,1266537,41780
34013211370000,0,785490,6264
34013211380000,0,610058,11044
34013211390100,0,930005,12554
34013211400000,0,484434,5372
34013211410000,0,1141864,16602
34013211420000,0,1659796,53923
34013211430100,0,1185802,40632
34013211440000,0,1324734,43293
34013211450000,0,1364511,45140
34013211460000,0,1850665,59670
34013211470000,0,1158330,13608
34013211480000,0,874582,1862
34013211490000,0,1676116,4639
34013211500000,0,482085,5225
34013211560000,0,764015,4473
34013211570000,0,1561552,23568
34013211580000,0,737582,4246
34013211590000,0,1842578,16656
34013211600000,0,940089,5892
34013211610000,0,971153,6097
34013211620000,0,1192307,8935
34013211640100,0,904541,7609
34013211650000,0,812140,7219
34013211660000,0,1364144,8368
34013211670000,0,1564467,17203
34013211680000,0,1520780,8661
34013211690000,0,1311036,8234
34013211700000,0,701654,22434
34013211720000,0,1406408,21104
34013211730000,0,1264076,19063
34013211750000,0,1869451,35380
34013211760000,0,1215628,8897
34013211770000,0,581625,4698
34013211780000,0,791921,7184
34013211790000,0,1009179,7390
34013211800000,0,681202,7773
34013211810000,0,1197608,12752
34013211820000,0,1314008,25211
34013211830000,0,2563461,46931
34013211840000,0,1245955,18131
34013211850000,0,825124,10681
34013211860000,0,1331512,11843
34013211870000,0,5861367,76599
34013211880000,0,1028251,13985
34013211890000,0,6011857,80885
34013211900000,0,2564159,40561
34013211910000,0,6792041,107711
34013211920000,0,7158223,112374
34013211930000,0,1094933,9170
34013211940000,0,2659322,63654
34013211950000,0,1630258,36439
34013211960000,0,2016134,47612
34013211970000,0,335757,7948
34013211980000,0,1921125,44313
34013212110000,0,6445086,127188
34013212120000,0,6289783,124312
34013212130000,0,4031732,79204
34013212140000,0,3214999,63007
34013212150000,0,2842957,54937
34013212160000,0,3283586,64462
34013212170000,0,1527946,29304
34013212180000,0,1487220,28796
34013212190000,0,1760365,34381
34013212200000,0,1592304,30351
34013212210000,0,1626167,31459
34013212220000,0,1555149,30662
34013212230000,0,1256611,26011
34013212290000,0,607884,3548
34013212300000,0,933345,3161
34013212310000,0,750023,3238
34013212320000,0,1861416,9823
34013212330100,0,1416089,12002
34013212340000,0,2351566,15477
34013212350000,0,1205778,4843
34013212360000,0,883279,3987
34013212370000,0,1084650,6324
34013212380100,0,1254340,2236
34013212390000,0,1228280,12341
34013212400000,0,802108,7066
34013212410000,0,1130529,9022
34013212420000,0,838616,7281
34013212430000,0,1514933,7006
34013212440000,0,1226259,8535
34013212450000,0,1019586,5740
34013212460000,0,636089,6132
34013212470000,0,1190367,11047
34013212480000,0,537044,4494
34013212490000,0,891689,8304
34013212500000,0,2611107,32360
34013212510000,0,2211402,28560
34013212520000,0,2560920,21103
34013212530000,0,2131129,18616
34013212540000,0,2248929,29197
34013212550000,0,1861616,16992
34013212560000,0,2270544,13601
34013212570000,0,1437100,10989
34013212580000,0,2620032,24014
34013212590000,0,2597712,13701
34013212640000,0,1911282,16933
34013212650000,0,1431593,14904
34013212660000,0,959811,12410
34013212670000,0,1103925,9289
34013212680000,0,1441050,11596
34013212740000,0,1234393,9447
34013212750000,0,1431774,11077
34013212760000,0,726938,4770
34013212770000,0,1402014,9764
34013212780000,0,2504602,17085
34013212820000,0,2555988,15140
34013212830000,0,1174157,14204
34013212840000,0,2646357,16375
34013212860000,0,4200626,23200
34013212870000,0,4290204,19894
34013212880000,0,4458454,29739
34013212890000,0,4163534,27050
34013212900000,0,3627921,19796
34013212910000,0,959123,13027
34013212940000,0,1636171,9700
34013212970000,0,1425958,11282
34013212980000,0,1189777,7790
34013212990000,0,6036296,26132
34013213000000,0,6721095,27894
34013213010000,0,6555699,34292
34013213020000,0,7209116,30357
34013213100000,0,868615,1996
34013213110000,0,1038061,2575
34013213120000,0,1152429,3480
34013213130000,0,1436532,21676
34013213140000,0,2833452,19009
34013213150000,0,2111150,5865
34013213170000,0,1253799,7744
34013213180000,0,1140828,7313
34013213190000,0,1048936,14792
34013213200000,0,1826010,10458
34013213220000,0,1010686,11487
34013213230000,0,3169377,36840
34013213280000,0,1014427,4178
34013213290000,0,1180158,9504
34013213300000,0,2147569,21857
34013213360000,0,1810859,924
34013213370000,0,1058106,2655
34013213380000,0,894142,3923
34013213390000,0,1689571,9865
34013213400000,0,1825490,13382
34013213410000,0,1797488,14698
34013213440000,0,2786046,15862
34013213450000,0,2209529,13078
34013213460000,0,2119599,10893
34013213470000,0,2040100,30720
34013213510000,0,3408401,35120
34013213530000,0,3701497,38221
34013213540000,0,3289368,37047
34013213580000,0,7271423,36988
34013213590000,0,4090756,26591
34013213600000,0,6249443,44300
34013213610000,0,4385415,25832
34013213620000,0,7954461,59265
34013213630000,0,7783837,57086
34013213650000,0,2994715,33600
34013213700000,0,1888028,6059
34013213710000,0,1669606,5322
34013213720000,0,1632388,5204
34013213750000,0,2783206,11086
34013213760000,0,3480199,6652
34013213770000,55706,1361285,24717
34013213780000,63967,1234549,26259
34013213790000,71637,1414069,26739
34013213800000,51748,1221198,22024
34013213810000,49603,3992096,43253
34013213820000,76055,5687136,36304
34013213830000,52862,4571024,40265
34013213840000,52252,5084075,46534
34013213850000,69146,3923843,55304
34013213860000,0,2135657,38664
34013213870000,0,2459234,44437
34013213880000,0,2406537,11839
34013213890000,0,2368840,14335
34013213900000,0,2150938,11780
34013213920000,0,3328433,71721
34013213930000,0,2421165,52690
34013213940000,0,2465246,53902
34013213950000,0,2654393,57486
34013213960000,0,2801464,60921
34013213970000,0,2687375,58648
34013213990000,0,6592948,26673
34013214000000,0,5045204,22736
34013214010000,0,5274250,20427
34013214020000,0,5437714,20506
34013214030000,0,4924307,25345
34013214040000,0,5305289,33005
34013214050000,0,6088160,31314
34013214060000,0,2337149,43681
34013214090000,0,5832227,62510
34013214100000,0,2905412,31355
34013214110000,0,6086172,27427
34013214120000,0,2937259,17369
34013214130000,0,3561204,12076
34013214140000,0,2679228,13771
34013214150000,0,4779801,42095
34013214160000,0,6983181,55960
34013214180000,0,4420469,35934
34013214200000,0,4743469,38472
34013214210000,0,4659592,38017
34013214230000,0,4773403,38471
34013214250000,0,5327539,36904
34013214260000,0,6031116,24731
34013214270000,0,5309517,31018
34013214340000,0,7992247,37399
34013214350000,0,7288071,38904
34013214360000,0,6880600,15061
34013214390000,0,1987447,13165
34013214400000,0,3270366,15282
34013214410000,0,4586968,16305
34013214420000,0,4787181,17007
34013214430000,0,4720792,16780
34013214450000,0,4596546,27773
34013214460000,0,4053694,24526
34013214480000,0,2608098,27128
34013214490000,0,2680351,28823
34013214500000,0,2794090,34682
34013214510000,0,2788583,44168
34013214520000,0,1283835,42996
34013214530000,0,1264349,39174
34013214540000,0,1266014,44502
34013214590000,17022,304137,10361
34013214600000,18621,328116,9544
34013214610000,17316,320746,9899
34013214620000,0,3240020,19988
34013214640000,0,941070,8502
34013214650000,0,1753749,7198
34013214660000,0,1710025,12164
34013214670000,0,2784353,16766
34019220730100,2124,158879,1251
34019220740000,118,143207,1723
34019220750000,674,141633,705
34019220760100,732,87316,1828
34019220810100,1810,74759,1386
34019220820100,1624,27182,851
34019220840100,620,129602,2103
34019220850000,5603,83504,1188
34019220860100,0,42168,0
34019220880000,1038,102505,2074
34019220890100,104,157601,2290
34019220900100,0,49288,35
34019220910000,2503,77641,482
34019220920000,1318,96568,1792
34019220930000,0,0,0
34019220940000,3691,40515,350
34019220950000,2030,70696,139
34019220960000,913,130944,814
34019220970000,1269,76472,1008
34019220980000,1377,105408,521
34019220990000,2089,116394,1390
34019221000000,675,104447,88
34019221010000,61,154675,2044
34019221020000,87,146300,1314
34019221030000,274,159007,1970
34019221040000,0,104071,851
34019221050000,654,99046,251
34019221100000,4845,58626,1042
34019221110000,3206,72120,599
34019221120000,34,139804,529
34019221130000,769,158772,611
34019221170000,1845,125049,1691
34019221190100,1074,120655,819
34019221210000,61,170789,1135
34019221220000,1525,82546,1714
34019221230000,409,112667,642
34019221240000,506,167329,1074
34019221250000,413,112015,1908
34019221260000,5104,189270,1459
34019221270000,2600,105832,777
34019221280000,3905,168820,1530
34019221310100,69,54431,331
34019221320100,384,53570,438
34019221330100,809,93204,466
34019221340000,0,285837,925
34019221350000,147,125128,1976
34019221360000,444,129805,1721
34019221370000,4238,59952,835
34019221380100,0,185347,1187
34019221390100,1280,114528,1469
34019221400000,20,109313,889
34019221410000,0,0,0
34019221420000,1347,123311,803
34019221430000,851,126926,563
34019221440000,222,112960,1525
34019221450000,0,224790,1133
34019221460000,0,86886,1068
34019221470000,16144,91216,29355
34019221480000,0,155827,1582
34019221500000,19,121529,597
34019221510000,754,122049,809
34019221520100,13448,43892,5918
34019221530000,565,59000,1414
34019221560000,8366,63694,638
34019221570000,167,164680,1360
34019221580000,103,156947,1266
34019221590000,44,180463,1257
34019221600000,159,154944,1103
34019221610000,843,145383,244
34019221620000,0,211919,1418
34019221640000,0,0,0
34019221650000,60035,581577,9759
34019221660000,4,289690,1045
34019221680000,1658,93634,1219
34019221700000,275,65539,1098
34019221710000,1822,126246,849
34019221720000,7737,119215,20021
34019221730000,4,191347,363
34019221740000,2112,109368,621
34019221750000,287,162639,560
34019221760000,0,0,0
34019221770000,0,0,0
34019221780000,8134,76670,558
34019221790000,396,183966,892
34019221800000,0,276570,1607
34019221810000,0,207517,2424
34019221820000,1,169322,1822
34019221830000,460,134583,999
34019221840000,737,173819,646
34019221850000,1749,131772,393
34019221870000,0,212309,1862
34019221880000,324,234159,1318
34019221890000,0,229921,2007
34019221910000,4697,71459,1151
34019221920000,796,140235,730
34019221930000,1317,125152,1189
34019221940000,1983,123654,1344
34019221950000,390,127365,465
34019221960100,2767,37090,781
34019221970100,0,0,0
34019221980000,0,111942,1579
34019221990000,39,116883,660
34019222000000,2037,85690,860
34019222010000,1551,132133,421
34019222020000,1351,152579,825
34019222030000,63,130029,904
34019222040000,10,107115,707
34019222050000,0,191857,1535
34019222060000,408,127529,890
34019222070000,868,126067,1292
34019222080000,5,134715,620
34019222090000,0,233048,1080
34019222100000,0,251433,533
34019222110000,636,140713,699
34019222120100,0,136060,143
34019222130000,1,130248,255
34019222150000,1257,123454,339
34019222160000,0,177224,972
34019222170000,259,158433,1459
34019222180000,167,191562,1034
34019222190000,34,165245,1485
34019222200000,1807,82557,358
34019222220000,43,135482,1599
34019222230000,0,176189,2862
34019222240000,3708,42589,716
34019222250000,4339,79594,725
34019222260000,3077,74151,1167
34019222270000,2654,69992,1008
34019222280000,2245,71117,1137
34019222290000,1670,61385,1095
34019222300000,2057,96022,1157
34019222320000,2021,99609,1116
34019222330000,2436,90057,1044
34019222340000,1959,72828,726
34019222350000,1794,151194,1914
34019222360000,673,140686,902
34019222370000,0,168571,1391
34019222380000,80745,599692,53459
34019222390000,302,248060,629
34019222400000,413,123202,92
34019222410000,329,99886,32
34019222420000,195,204482,1857
34019222430000,346,135493,929
34019222440000,679,69119,346
34019222460000,0,353148,1124
34019222470000,2077,56436,346
34019222480000,5748,74077,1129
34019222500000,0,219857,1931
34019222520000,91,288344,733
34019222530000,601,118968,893
34019222540000,377,154851,275
34019222550000,35,245422,2146
34019222560000,858,316865,125
34019222570000,1005,383680,375
34019222580000,3269,56960,105
34019222590000,459,121157,2096
34019222600000,0,341031,439
34019222610000,304,172056,638
34019222620000,289,168516,1043
34019222630000,118,142921,1228
34019222640000,134,296967,820
34019222650000,317,275400,1287
34019222660000,265,212474,1266
34019222670000,0,192411,331
34019222680000,130,169457,621
34019222690000,110,164741,564
34019222700000,117,157611,359
34019222710000,9213,84879,1550
34019222720000,20,306005,1543
34019222730000,2,140816,95
34019222740000,1,201804,1464
34019222750000,6,131692,1332
34019222760000,5,181840,511
34019222770000,1882,55837,547
34019222780000,0,332069,1396
34019222790000,352,209479,2196
34019222800000,452,237267,0
34019222810000,494,197768,2093
34019222820000,524,157791,2883
34019222830000,272,178888,2956
34019222840000,1199,76308,555
34019222850000,605,79101,402
34019222860000,556,234808,1755
34019222870000,1313,77473,422
34019222880000,2918,103623,1386
34019222890000,4461,57805,630
34019222900000,140,217251,1708
34019222910000,4445,63631,1075
34019222920000,4687,54766,980
34019222930000,3369,49683,1017
34019222940000,5286,49755,13359
34019222950000,5827,126516,1192
34019222960000,3018,127199,824
34019222970000,7296,140342,1011
34019222980000,3425,130939,1043
34019222990000,6664,124873,947
34019223000000,3853,131551,975
34019223010000,1174,105460,1022
34019223020000,881,93570,1049
34019223030000,5630,95881,1350
34019223040000,0,322713,1900
34019223050000,4959,61068,522
34019223060000,4740,61167,1276
34019223070000,7820,165333,2666
34019223080000,5090,109755,3743
34019223090000,11661,234360,3529
34019223190000,9,402161,1582
34019223210000,5,253966,1067
34019223230000,0,109626,385
34019223250000,0,78328,442
34019223260000,0,106057,1074
